alpha,scaling_type,mean_entropy,std_entropy,mean_max_attn,mean_k_eff,n_tokens,layer,head
0.25,Q,5.2286200523376465,0.929209291934967,0.019267018884420395,217.79019165039062,510,12,0
0.5,Q,5.1175856590271,0.9414437413215637,0.034336645156145096,199.46078491210938,510,12,0
0.75,Q,4.931604385375977,0.9752171635627747,0.05756949633359909,177.89019775390625,510,12,0
1.0,Q,4.677762508392334,1.0326510667800903,0.08896147459745407,153.60195922851562,510,12,0
1.25,Q,4.375027179718018,1.097039818763733,0.12664923071861267,128.06666564941406,510,12,0
1.5,Q,4.046421051025391,1.1474096775054932,0.16854023933410645,103.62352752685547,510,12,0
2.0,Q,3.383740186691284,1.1784144639968872,0.2586361765861511,64.4627456665039,510,12,0
0.25,K,5.2286200523376465,0.929209291934967,0.019267018884420395,217.79019165039062,510,12,0
0.5,K,5.1175856590271,0.9414437413215637,0.034336645156145096,199.46078491210938,510,12,0
0.75,K,4.931617736816406,0.9752333164215088,0.05756492540240288,177.8941192626953,510,12,0
1.0,K,4.677762508392334,1.0326510667800903,0.08896147459745407,153.60195922851562,510,12,0
1.25,K,4.375110626220703,1.0969514846801758,0.1266283243894577,128.07058715820312,510,12,0
1.5,K,4.046619892120361,1.1474519968032837,0.16852019727230072,103.62156677246094,510,12,0
2.0,K,3.383740186691284,1.1784144639968872,0.2586361765861511,64.4627456665039,510,12,0
